"material","value","passage"
"AlNbTiV (room temperature)",1000,"Structure and mechanical properties of the AlCrxNbTiV (x = 0, 0.5, 1, 1.5) high entropy alloys. The strength increases with Cr content. For example, the compression yield strength of the AlNbTiV and AlCr1.5NbTiV alloys at room temperature is respectively 1000 MPa and 1700 °C, while at 800 °C the respective values are 560 MPa and 970 MPa."
"AlNbTiV (room temperature)",1000,"Structure and mechanical properties of the AlCrxNbTiV (x = 0, 0.5, 1, 1.5) high entropy alloys. The strength increases with Cr content. For example, the compression yield strength of the AlNbTiV and AlCr1.5NbTiV alloys at room temperature is respectively 1000 MPa and 1700 °C, while at 800 °C the respective values are 560 MPa and 970 MPa."
"AlCr1.5NbTiV",970,"Structure and mechanical properties of the AlCrxNbTiV (x = 0, 0.5, 1, 1.5) high entropy alloys. At higher temperature of 800 °C, pronounced increase of ductility of the AlCrxNbTiV alloys was observed – they were compressed to 50% strain without fracture. The yield strength of the AlNbTiV and AlCr1.5NbTiV alloys decreases to 560 MPa and 970 MPa respectively."
"AlCr1.5NbTiV (800 °C)",970,"Structure and mechanical properties of the AlCrxNbTiV (x = 0, 0.5, 1, 1.5) high entropy alloys. The strength increases with Cr content. For example, the compression yield strength of the AlNbTiV and AlCr1.5NbTiV alloys at room temperature is respectively 1000 MPa and 1700 °C, while at 800 °C the respective values are 560 MPa and 970 MPa."
"AlCr1.5NbTiV (800 °C)",970,"Structure and mechanical properties of the AlCrxNbTiV (x = 0, 0.5, 1, 1.5) high entropy alloys. The strength increases with Cr content. For example, the compression yield strength of the AlNbTiV and AlCr1.5NbTiV alloys at room temperature is respectively 1000 MPa and 1700 °C, while at 800 °C the respective values are 560 MPa and 970 MPa."
"AlNbTiV (800 °C)",685,"Structure and mechanical properties of the AlCrxNbTiV (x = 0, 0.5, 1, 1.5) high entropy alloys. Addition of Al also has been proved to have beneficial effect on density and strength of HEAs intended for high temperature application [15–21]. For example, the AlNbTiV alloy has low density of 5590 kg m^(-3), single bcc phase structure and yield strength of 1020 MPa and 685 MPa at room temperature and 800 °C, respectively [20]."
"AlNbTiV",560,"Structure and mechanical properties of the AlCrxNbTiV (x = 0, 0.5, 1, 1.5) high entropy alloys. At higher temperature of 800 °C, pronounced increase of ductility of the AlCrxNbTiV alloys was observed – they were compressed to 50% strain without fracture. The yield strength of the AlNbTiV and AlCr1.5NbTiV alloys decreases to 560 MPa and 970 MPa respectively."
"AlNbTiV (800 °C)",560,"Structure and mechanical properties of the AlCrxNbTiV (x = 0, 0.5, 1, 1.5) high entropy alloys. The strength increases with Cr content. For example, the compression yield strength of the AlNbTiV and AlCr1.5NbTiV alloys at room temperature is respectively 1000 MPa and 1700 °C, while at 800 °C the respective values are 560 MPa and 970 MPa."
"AlNbTiV (800 °C)",560,"Structure and mechanical properties of the AlCrxNbTiV (x = 0, 0.5, 1, 1.5) high entropy alloys. The strength increases with Cr content. For example, the compression yield strength of the AlNbTiV and AlCr1.5NbTiV alloys at room temperature is respectively 1000 MPa and 1700 °C, while at 800 °C the respective values are 560 MPa and 970 MPa."
"AlNbTiV",110,"Structure and mechanical properties of the AlCrxNbTiV (x = 0, 0.5, 1, 1.5) high entropy alloys. After softening stage, the AlNbTiV, AlCr0.5NbTiV and AlCrNbTiV demonstrate some hardening, while flow stress of the AlCr1.5NbTiV alloy continues to decrease gradually. At 1000 °C the yield strength of the alloys decreases pronouncedly, to 110 MPa for the AlNbTiV alloy and to 75 MPa for the AlCr1.5NbTiV alloy."
"AlCr1.5NbTiV",75,"Structure and mechanical properties of the AlCrxNbTiV (x = 0, 0.5, 1, 1.5) high entropy alloys. After softening stage, the AlNbTiV, AlCr0.5NbTiV and AlCrNbTiV demonstrate some hardening, while flow stress of the AlCr1.5NbTiV alloy continues to decrease gradually. At 1000 °C the yield strength of the alloys decreases pronouncedly, to 110 MPa for the AlNbTiV alloy and to 75 MPa for the AlCr1.5NbTiV alloy."
"AL13",760,"Microstructure and mechanical properties of Al20−x Cr20+0.5x Fe20Co20Ni20+0.5x high entropy alloys. It could be observed from the curves that AL18 and AL15.5 show no plastic deformation prior to fracture and display relatively low strength compared with other alloys in this study. AL13 exhibits the highest yield strength (760 MPa) and fracture strength (1010 MPa) among these alloys, and shows plastic elongation of about 6%."
"AL13",760,"Microstructure and mechanical properties of Al20−x Cr20+0.5x Fe20Co20Ni20+0.5x high entropy alloys. AL13 exhibits the highest yield strength (760 MPa) and fracture strength (1010 MPa) among these alloys, and shows plastic elongation of about 6%. In comparison to AL13, AL10.5 exhibits much lower yield strength and fracture strength (370 MPa and 790 MPa, respectively) but higher plastic deformation of about 25% before fracture."
"AL10.5",370,"Microstructure and mechanical properties of Al20−x Cr20+0.5x Fe20Co20Ni20+0.5x high entropy alloys. AL13 exhibits the highest yield strength (760 MPa) and fracture strength (1010 MPa) among these alloys, and shows plastic elongation of about 6%. In comparison to AL13, AL10.5 exhibits much lower yield strength and fracture strength (370 MPa and 790 MPa, respectively) but higher plastic deformation of about 25% before fracture."
"VNbMoTaW",477,"Microstructure and mechanical properties of refractory high entropy (Mo0.5NbHf0.5ZrTi)BCC/M5Si3 in-situ compound. In all studied high entropy alloys, one alloy system named refractory high entropy alloys, which are exclusively based on the refractory metals of W, Ta, Nb, Mo, Hf, Zr, Ti, V, exhibits excellent elevated temperature properties [10–14]. For example, NbMoTaW and VNbMoTaW alloys have high compressive yield strength of 405 MPa and 477 MPa at 1600 °C [15]."
"NbMoTaW",405,"Microstructure and mechanical properties of refractory high entropy (Mo0.5NbHf0.5ZrTi)BCC/M5Si3 in-situ compound. In all studied high entropy alloys, one alloy system named refractory high entropy alloys, which are exclusively based on the refractory metals of W, Ta, Nb, Mo, Hf, Zr, Ti, V, exhibits excellent elevated temperature properties [10–14]. For example, NbMoTaW and VNbMoTaW alloys have high compressive yield strength of 405 MPa and 477 MPa at 1600 °C [15]."
"AlNiFeCrCoTi x system",3000,"First principles exploration of near-equiatomic NiFeCrCo high entropy alloys. HEAs are of significant interest because of their desirable combinations of physical properties. To name a few examples, yield strength up to about 3000 MPa has been reported in the bcc AlNiFeCrCoTi x system [4]."
"Ni1.5CoCuFeV0.5",1130,"Processing, microstructure and properties of Ni1.5CoCuFeCr0.5−xVx high entropy alloys with carbon introduced from process control agent. Moreover, a small amount of nanoscale twins exist in partial FCC structured grains. (4) The consolidated Ni1.5CoCuFeCr0.25V0.25and Ni1.5CoCuFeV0.5 alloys exhibit compressive yield strength of 1045 and 1130 MPa, respectively, and they are not fractured under compression, suggesting the excellent compressive mechanical properties of these bulk HEAs."
"Ni1.5CoCuFeV0.5",1130,"Processing, microstructure and properties of Ni1.5CoCuFeCr0.5−xVx high entropy alloys with carbon introduced from process control agent. Moreover, a small amount of nanoscale twins exist in partial FCC structured grains. The consolidated Ni1.5CoCuFeCr0.25V0.25and Ni1.5CoCuFeV0.5 alloys exhibit compressive yield strength of 1045 and 1130 MPa, respectively, and they are not fractured under compression, suggesting the excellent compressive mechanical properties of these bulk HEAs."
"Co5 (annealed)",283,"Annealing effect on the phase stability and mechanical properties of (FeNiCrMn)(100−x)Co x high entropy alloys. Fig. 8 shows the tensile engineering stress-strain curves of the three alloys in as-cast and annealed state at 850 °C for 48 h, respectively. For the Co5 alloy, the yield strength increased significantly by about 34.7% from about 210 MPa to about 283 MPa after annealing."
"Co5 (as-cast)",210,"Annealing effect on the phase stability and mechanical properties of (FeNiCrMn)(100−x)Co x high entropy alloys. Fig. 8 shows the tensile engineering stress-strain curves of the three alloys in as-cast and annealed state at 850 °C for 48 h, respectively. For the Co5 alloy, the yield strength increased significantly by about 34.7% from about 210 MPa to about 283 MPa after annealing."
"Co20 alloy",208,"Annealing effect on the phase stability and mechanical properties of (FeNiCrMn)(100−x)Co x high entropy alloys. However, in contrast to the variation of hardness and yield strength, the small volume fraction of sigma phase in the annealed Co10 alloy could deteriorate the ductility significantly and the tensile elongation decreases from about 60.7% to 27.8%. For the Co20 alloy, the yield strength exhibits a very subtle decrease from about 215 MPa to 208 MPa, and the decreasing trend of yield strength is in accord with the hardness evolution."
"CoCrFeMnNi+5% SiC",1480,"Effect of SiC nano-particles on microstructure and mechanical properties of the CoCrFeMnNi high entropy alloy. The composites synthesized in this study created novel high entropy alloys with highly improved mechanical properties. In particular, additions of 5 wt% of SiC nano-particles increased yield strength of the CoCrFeMnNi HEA from 1180 MPa to 1480 MPa."
"CoCrFeMnNi HEA",1180,"Effect of SiC nano-particles on microstructure and mechanical properties of the CoCrFeMnNi high entropy alloy. The composites synthesized in this study created novel high entropy alloys with highly improved mechanical properties. In particular, additions of 5 wt% of SiC nano-particles increased yield strength of the CoCrFeMnNi HEA from 1180 MPa to 1480 MPa."
"B2 phase",1700,"Understanding the mechanical behaviour and the large strength/ductility differences between FCC and BCC AlxCoCrFeNi high entropy alloys. It can therefore be concluded that the strength of the BCC HEA can be estimated by a simple rule of mixtures, and that the large increase in strength of the BCC alloy compared to the FCC case is the development of a large volume fraction of hard B2 phase which results from A1 addition. The B2 phase was measured to have a strength of 9.1 GPa by nano-hardness, and this equates to an approximate yield strength of 1700 MPa."
"AlxCoCrFeNi",1400,"Understanding the mechanical behaviour and the large strength/ductility differences between FCC and BCC AlxCoCrFeNi high entropy alloys. This is one of the aspects of HEA deformation behaviour studied in the present work. In stark contrast to the mechanical behaviour of the FCC low-aluminium alloys, those alloys from the AlxCoCrFeNi family with high Al concentrations show extremely high yield strengths of up to 1400 MPa, but very poor ductilities [25,26]."
"AlxCoCrFeNi high entropy alloy",1400,"Understanding the mechanical behaviour and the large strength/ductility differences between FCC and BCC AlxCoCrFeNi high entropy alloys. Slip line analysis confirmed that the alloy deforms by slip on the {110} planes. This alloy exhibited a very high yield strength of 1400 MPa, and showed reasonably good strain to failure under compressive loading."
"AlxCoCrFeNi high entropy alloy",1400,"Understanding the mechanical behaviour and the large strength/ductility differences between FCC and BCC AlxCoCrFeNi high entropy alloys. Slip line analysis confirmed that the alloy deforms by slip on the {110} planes. This alloy exhibited a very high yield strength of 1400 MPa, and showed reasonably good strain to failure under compressive loading."
"Al0.85 alloy",1400,"Understanding the mechanical behaviour and the large strength/ductility differences between FCC and BCC AlxCoCrFeNi high entropy alloys. The Al0.85 alloy with BCC structure exhibited perfect brittle fracture with no signs of plasticity under tensile loading, Fig. 5(c). However, in compression this alloy showed a high yield strength of 1400 MPa, ultimate strength of 2250 MPa and reasonably good true strain to failure of 0.25 under compressive loading."
"FCC/BCC Al0.6 alloy",400,"Understanding the mechanical behaviour and the large strength/ductility differences between FCC and BCC AlxCoCrFeNi high entropy alloys. This imparts the material with brittle fracture characteristics in tension. ➢ The FCC/BCC Al0.6 alloy showed a yield strength of 400 MPa and exhibited a mixed fracture behaviour with brittle fracture in the BCC phase and dimple/ductile fracture in the FCC phase."
"FCC/BCC Al0.6 alloy",400,"Understanding the mechanical behaviour and the large strength/ductility differences between FCC and BCC AlxCoCrFeNi high entropy alloys. This imparts the material with brittle fracture characteristics in tension. The FCC/BCC Al0.6 alloy showed a yield strength of 400 MPa and exhibited a mixed fracture behaviour with brittle fracture in the BCC phase and dimple/ductile fracture in the FCC phase."
"FCC Al0.3 alloy",194,"Understanding the mechanical behaviour and the large strength/ductility differences between FCC and BCC AlxCoCrFeNi high entropy alloys. The reduced ductility of the alloy in tensile loading might be attributed to crack growth along the interphase boundaries, compared to compressive loading where crack propagation is slowed. The FCC Al0.3 alloy showed a yield strength of 194 MPa in tension and compression."
"FCC Al0.3 alloy",194,"Understanding the mechanical behaviour and the large strength/ductility differences between FCC and BCC AlxCoCrFeNi high entropy alloys. All results are summarised in Table 2 . The flow curves from tension and compression of the single phase FCC Al0.3 alloy in the as-deposited condition are shown in Fig. 5 (a), and it is clear that the tension and compression data show similar yield strengths (194 MPa) in tension and compression."
"FCC Al0.3 alloy",194,"Understanding the mechanical behaviour and the large strength/ductility differences between FCC and BCC AlxCoCrFeNi high entropy alloys. The hypothesis on a universal fracture criterion for high-strength materials [53] may also accounts for the difference in ductility observed for the Al0.85 alloy in tension and compression. The deformation mechanisms of additively manufactured FCC, FCC + BCC and BCC HEAs of the AlxCoCrFeNi alloy system under tensile and compressive loading were studied leading to the following key insights: ➢ The FCC Al0.3 alloy showed a yield strength of 194 MPa in tension and compression."
"AlCoCrFeNiTi0.5",2260,"Studies on the microstructure and properties of AlxCoCrFeNiTi1-x high entropy alloys. Zhou et al. [30] studied the compressive mechanical properties of AlCoCrFeNiTix alloy system. The alloy system, which is mainly composed of body-centered cubic solid solutions, has good comprehensive mechanical properties, and especially, the AlCoCrFeNiTi0.5 alloy has a compressive yield strength of 2.26 GPa and a compressive plasticity of 23%."
"Mo0.1",414,"Effect of molybdenum on phases, microstructure and mechanical properties of Al0.5CoCrFeMo x Ni high entropy alloys. The as-cast Mo0 and Mo0.1 alloys display good plasticity and significant work hardening, and do not fracture when the engineering strain is up to 28%. The 0.2% offset yield strength (σ0.2) of the Mo0 and Mo0.1 alloys is 368 MPa and 414 MPa, respectively."
"Mo0",368,"Effect of molybdenum on phases, microstructure and mechanical properties of Al0.5CoCrFeMo x Ni high entropy alloys. The as-cast Mo0 and Mo0.1 alloys display good plasticity and significant work hardening, and do not fracture when the engineering strain is up to 28%. The 0.2% offset yield strength (σ0.2) of the Mo0 and Mo0.1 alloys is 368 MPa and 414 MPa, respectively."
"AlCr1.5NbTiV",1700,"A review on fundamental of high entropy alloys with promising high–temperature properties. Thus, the refractory HEAs containing Laves phase have high strength from room temperature to 800 °C. For example, the yield strength of AlCr1.5NbTiV alloy is 1700 and 970 MPa at room temperature and 800 °C, respectively."
"AlCr1.5NbTiV (room temperature)",1700,"A review on fundamental of high entropy alloys with promising high–temperature properties. For example, the yield strength of AlCr1.5NbTiV alloy is 1700 and 970 MPa at room temperature and 800 °C, respectively. In addition, Liu et al. [195] found that the addition of Si in HfMo0.5NbTiV0.5 results in the generation of multi-component silicide (Hf, Nb, Ti)5Si3 and the yield strength increases from 60 MPa for HfMo0.5NbTiV0.5–235 MPa for HfMo0.5NbTiV0.5Si0.7 alloys at 1200 °C."
"NbTiVZr",1105,"A review on fundamental of high entropy alloys with promising high–temperature properties. The NbTiV2Zr alloy contains three disordered BCC phases. The yield strength of NbTiVZr and NbTiV2Zr is 1105 MPa and 918 MPa, respectively, and their strain exceeds 50%."
"HfNbTaTiZr (Predicted)",1094,"A review on fundamental of high entropy alloys with promising high–temperature properties. In the work of Senkov et al. [85], the refractory HEA HfNbTaTiZr was treated as a quasi-binary alloy in which Ta, Nb, and Ti are solvents and Hf plus Zr are solutes. It was found that the predicted yield strength of the refractory HEA HfNbTaTiZr is 1094 MPa, which is in reasonable agreement with the observed value of 929 MPa."
"NbTiV2Zr",918,"A review on fundamental of high entropy alloys with promising high–temperature properties. The NbTiV2Zr alloy contains three disordered BCC phases. The yield strength of NbTiVZr and NbTiV2Zr is 1105 MPa and 918 MPa, respectively, and their strain exceeds 50%."
"V35Ti35Fe15Cr10Zr5 (Room Temperature)",917.8,"A review on fundamental of high entropy alloys with promising high–temperature properties. In addition, the high-temperature strength of refractory HEAs can be improved by microstructure optimization. It was reported that the alloy V35Ti35Fe15Cr10Zr5 consists of two BCC solid-solution phases and its strength increases with increasing temperature below 500 °C [194], where the compressive yield strength is 917.8 MPa–1238.1 MPa at room temperature and 500 °C, respectively."
"NbMoTaW and VNbMoTaW",400,"A review on fundamental of high entropy alloys with promising high–temperature properties. Unfortunately, these refractory alloys show poor ductility, high densities, and poor oxidation resistance at elevated temperature [167–169]. The refractory HEAs consisting of refractory elements were proposed by Senkov et al. [29,170], where two refractory HEAs NbMoTaW and VNbMoTaW with single-phase disordered BCC structure (see Fig. 6 ) have extremely high yield strength of over 400 MPa at 1600 °C."
"(FeCoNiCr)94Ti2Al4",327,"A review on fundamental of high entropy alloys with promising high–temperature properties. The associated APB energy, γ APB, represents a barrier which must be overcome if particle cutting is to occur, which in turn increases the strength of material [150]: He et al. [132] and Wang et al. [123] evaluated the contribution of precipitates γ′ to room-temperature tensile properties of HESAs. The yield strength increment derived from the precipitates γ′-Ni3(Ti,Al) is about 327 MPa in (FeCoNiCr)94Ti2Al4, where the volume fraction and radius of γ′ precipitates are 26.8% and 9.7 nm, respectively [132]."
"Al0.2CrFeCoNi2Cu0.2",259,"A review on fundamental of high entropy alloys with promising high–temperature properties. The yield strength increment derived from the precipitates γ′-Ni3(Ti,Al) is about 327 MPa in (FeCoNiCr)94Ti2Al4, where the volume fraction and radius of γ′ precipitates are 26.8% and 9.7 nm, respectively [132]. The presence of γ′ precipitates in the alloy Al0.2CrFeCoNi2Cu0.2 results in the increase of 259 MPa and 316 MPa in the yield strength and ultimate tensile strength, respectively, where the diameter of γ′ precipitates is 18.3 nm and the mean edge-to-edge interprecipitate spacing λ p is estimated to be 15.8 nm [123]."
"HfMo0.5NbTiV0.5Si0.7",235,"A review on fundamental of high entropy alloys with promising high–temperature properties. For example, the yield strength of AlCr1.5NbTiV alloy is 1700 and 970 MPa at room temperature and 800 °C, respectively. In addition, Liu et al. [195] found that the addition of Si in HfMo0.5NbTiV0.5 results in the generation of multi-component silicide (Hf, Nb, Ti)5Si3 and the yield strength increases from 60 MPa for HfMo0.5NbTiV0.5–235 MPa for HfMo0.5NbTiV0.5Si0.7 alloys at 1200 °C."
"HfMo0.5NbTiV0.5",60,"A review on fundamental of high entropy alloys with promising high–temperature properties. For example, the yield strength of AlCr1.5NbTiV alloy is 1700 and 970 MPa at room temperature and 800 °C, respectively. In addition, Liu et al. [195] found that the addition of Si in HfMo0.5NbTiV0.5 results in the generation of multi-component silicide (Hf, Nb, Ti)5Si3 and the yield strength increases from 60 MPa for HfMo0.5NbTiV0.5–235 MPa for HfMo0.5NbTiV0.5Si0.7 alloys at 1200 °C."
"VNbMoTaW HEA",600,"Microstructures and mechanical properties of CrMnFeCoNi high entropy alloys fabricated using laser metal deposition technique. Some HEAs have attracted increasing attention due to their wide range of potential applications as engineering materials under extreme temperature conditions. For example, the VNbMoTaW HEA maintains 600 MPa high compression yield strength even at a temperature of 1400 °C, which is significantly higher than conventional superalloys such as Inconel 718 [5,6]."
"CrMnFeCoNi (77 K)",402,"Microstructures and mechanical properties of CrMnFeCoNi high entropy alloys fabricated using laser metal deposition technique. The tensile stress-strain curves of the 1400 W LMD samples along scanning direction from room temperature to low temperature are presented in Fig. 5 (a). As the temperature decreases from 293 K to 77 K, the yield strength (σ0.2) and tensile strength (σmax) increase from 290 MPa to 402 MPa and from 535 MPa to 878 MPa, respectively."
"CrMnFeCoNi (293 K)",290,"Microstructures and mechanical properties of CrMnFeCoNi high entropy alloys fabricated using laser metal deposition technique. The tensile stress-strain curves of the 1400 W LMD samples along scanning direction from room temperature to low temperature are presented in Fig. 5 (a). As the temperature decreases from 293 K to 77 K, the yield strength (σ0.2) and tensile strength (σmax) increase from 290 MPa to 402 MPa and from 535 MPa to 878 MPa, respectively."
"CoCrFeNiNb0.8",1786,"Effects of temperature and microstructure on the triblogical properties of CoCrFeNiNbx eutectic high entropy alloys. The excellent softening resistance indicates the great potentials of CoCrFeNiNbx high entropy alloys as high temperature materials. As shown in Table 2 , the yield strength at RT of CoCrFeNiNb0.5, CoCrFeNiNb0.65 and CoCrFeNiNb0.8 alloys are 1280 MPa, 1542 MPa and 1786 MPa, respectively [13]."
"CoCrFeNiNb0.65",1542,"Effects of temperature and microstructure on the triblogical properties of CoCrFeNiNbx eutectic high entropy alloys. The excellent softening resistance indicates the great potentials of CoCrFeNiNbx high entropy alloys as high temperature materials. As shown in Table 2 , the yield strength at RT of CoCrFeNiNb0.5, CoCrFeNiNb0.65 and CoCrFeNiNb0.8 alloys are 1280 MPa, 1542 MPa and 1786 MPa, respectively [13]."
"CoCrFeNiNb0.5",1280,"Effects of temperature and microstructure on the triblogical properties of CoCrFeNiNbx eutectic high entropy alloys. The excellent softening resistance indicates the great potentials of CoCrFeNiNbx high entropy alloys as high temperature materials. As shown in Table 2 , the yield strength at RT of CoCrFeNiNb0.5, CoCrFeNiNb0.65 and CoCrFeNiNb0.8 alloys are 1280 MPa, 1542 MPa and 1786 MPa, respectively [13]."
"Ta20Nb20Hf20Zr20Ti20 alloy",929,"Microstructure and mechanical properties of Ti-Al-Ni-Co-Fe based high entropy alloys prepared by powder metallurgy route. They also studied the wear resistance of these alloys and reported that the wear resistance is higher than Ni hard faced alloys. Senkov et al. [24] studied room temperature compressive properties of Ta20Nb20Hf20Zr20Ti20 alloy and reported a value of 929 ± 15 MPa as yield strength."
"HEA Sheet (3 at. %% Carbon)",792,"Microstructures and mechanical properties of nano carbides reinforced CoCrFeMnNi high entropy alloys. Engineering stress-strain curves of the annealed as-rolled CoCrFeMnNiCX HEA sheets are shown Fig. 8 . Both the yield strength (YS) and the ultimate tensile strength (UTS) increase with the carbon content increasing, however, the elongation decreases with the carbon content increasing, i.e., the undoped alloy showed yield stress of 371 MPa, with UTS of 675 MPa, and an elongation to failure of 54%, for the HEA sheets containing 1 at. %% and 3 at. %% carbon, the YS increased to 634 MPa and 792 MPa, respectively, and the UTS increased to 843 MPa and 980 MPa, however, the elongation decreased to 38% and 11%, respectively."
"CoCrFeMnNi (3.0 at.%% C)",792,"Microstructures and mechanical properties of nano carbides reinforced CoCrFeMnNi high entropy alloys. As the carbon content increased to 1.0 at.%% and 3.0 at.%%, there are a lot of M23C6 nano carbides precipitating in the microstructure. (3) With carbon content increasing from 0 at.%% to 3.0 at.%%, the strengthening of the α-fiber textures is more obvious, the yield tensile strength (YS) increased from 371 MPa to 792 MPa, however, the elongation decreased from 54% to 11%."
"CoCrFeMnNiC1 HEA sheet (2.9% nano carbides)",634,"Microstructures and mechanical properties of nano carbides reinforced CoCrFeMnNi high entropy alloys. (3) With carbon content increasing from 0 at.%% to 3.0 at.%%, the strengthening of the α-fiber textures is more obvious, the yield tensile strength (YS) increased from 371 MPa to 792 MPa, however, the elongation decreased from 54% to 11%. The CoCrFeMnNiC1 HEA sheet with a volume fraction of 2.9% nano carbides showed excellent balanced strength and ductility, i.e. the yield strength of 634 MPa MPa and the elongation of 38%, respectively."
"CoCrFeMnNiC1 HEA (2.9% nano carbides)",634,"Microstructures and mechanical properties of nano carbides reinforced CoCrFeMnNi high entropy alloys. With carbon content increasing from 0 at.%% to 3.0 at.%%, the strengthening of the α-fiber textures is more obvious, the yield tensile strength (YS) increased from 371 MPa to 792 MPa, however, the elongation decreased from 54% to 11%. The CoCrFeMnNiC1 HEA sheet with a volume fraction of 2.9% nano carbides showed excellent balanced strength and ductility, i.e. the yield strength of 634 MPa MPa and the elongation of 38%, respectively."
"C1 alloy (experimental)",634,"Microstructures and mechanical properties of nano carbides reinforced CoCrFeMnNi high entropy alloys. It is notable that the strength of the C1 alloy increases compared to a carbon-free alloy, because the minor carbon addition may induce a transition from dislocation glide to mixed deformation mode combining of twining and dislocation glide, which can be verified by TEM analysis (Fig. 7). In summary, the calculated yield strength of C1 alloy sheet is 628 MPa, which is closed to the experimental value (634 MPa), compared with the HEAs sheet without carbon, the increase of strength was mainly caused by precipitation Orowan strengthening and dislocations strengthening (Fig. 11 )."
"HEA Sheet (1 at. %% Carbon)",634,"Microstructures and mechanical properties of nano carbides reinforced CoCrFeMnNi high entropy alloys. Engineering stress-strain curves of the annealed as-rolled CoCrFeMnNiCX HEA sheets are shown Fig. 8 . Both the yield strength (YS) and the ultimate tensile strength (UTS) increase with the carbon content increasing, however, the elongation decreases with the carbon content increasing, i.e., the undoped alloy showed yield stress of 371 MPa, with UTS of 675 MPa, and an elongation to failure of 54%, for the HEA sheets containing 1 at. %% and 3 at. %% carbon, the YS increased to 634 MPa and 792 MPa, respectively, and the UTS increased to 843 MPa and 980 MPa, however, the elongation decreased to 38% and 11%, respectively."
"C1 alloy (calculated)",628,"Microstructures and mechanical properties of nano carbides reinforced CoCrFeMnNi high entropy alloys. It is notable that the strength of the C1 alloy increases compared to a carbon-free alloy, because the minor carbon addition may induce a transition from dislocation glide to mixed deformation mode combining of twining and dislocation glide, which can be verified by TEM analysis (Fig. 7). In summary, the calculated yield strength of C1 alloy sheet is 628 MPa, which is closed to the experimental value (634 MPa), compared with the HEAs sheet without carbon, the increase of strength was mainly caused by precipitation Orowan strengthening and dislocations strengthening (Fig. 11 )."
"Undoped Alloy",371,"Microstructures and mechanical properties of nano carbides reinforced CoCrFeMnNi high entropy alloys. Engineering stress-strain curves of the annealed as-rolled CoCrFeMnNiCX HEA sheets are shown Fig. 8 . Both the yield strength (YS) and the ultimate tensile strength (UTS) increase with the carbon content increasing, however, the elongation decreases with the carbon content increasing, i.e., the undoped alloy showed yield stress of 371 MPa, with UTS of 675 MPa, and an elongation to failure of 54%, for the HEA sheets containing 1 at. %% and 3 at. %% carbon, the YS increased to 634 MPa and 792 MPa, respectively, and the UTS increased to 843 MPa and 980 MPa, however, the elongation decreased to 38% and 11%, respectively."
"CoCrFeMnNi (0 at.%% C)",371,"Microstructures and mechanical properties of nano carbides reinforced CoCrFeMnNi high entropy alloys. As the carbon content increased to 1.0 at.%% and 3.0 at.%%, there are a lot of M23C6 nano carbides precipitating in the microstructure. (3) With carbon content increasing from 0 at.%% to 3.0 at.%%, the strengthening of the α-fiber textures is more obvious, the yield tensile strength (YS) increased from 371 MPa to 792 MPa, however, the elongation decreased from 54% to 11%."
"Cr2.0 alloy",840,"Non-monotonic variation of structural and tensile properties with Cr content in AlCoCrxFeNi2 high entropy alloys. Abnormally, the elongation also reduces slightly from 12.2% to 11%. When x is higher than 1.4, both ultimate strength and yield strength increase dramatically to the maximum of 1373 MPa and 840 MPa (Cr2.0 alloy), respectively, and then slightly reduce to 1346 MPa and 827 MPa (Cr2.2 alloy), respectively."
"Cr2.2 alloy",827,"Non-monotonic variation of structural and tensile properties with Cr content in AlCoCrxFeNi2 high entropy alloys. Abnormally, the elongation also reduces slightly from 12.2% to 11%. When x is higher than 1.4, both ultimate strength and yield strength increase dramatically to the maximum of 1373 MPa and 840 MPa (Cr2.0 alloy), respectively, and then slightly reduce to 1346 MPa and 827 MPa (Cr2.2 alloy), respectively."
"Cr1.6 alloy",470,"Non-monotonic variation of structural and tensile properties with Cr content in AlCoCrxFeNi2 high entropy alloys. In summary, with the increase of Cr content, the strength first decreases and then increases to the maximum, while the elongation first decreases, then increases to the maximum and reduces again to 4.75%. The as-cast Cr1.6 alloy exhibits best tensile performance when x varies from 1.0 to 1.6, with an ultimate strength of 1077 MPa, a yield strength of 470 MPa and a total elongation of 16%."
"AlCoCrxFeNi2 (x=1.4)",428,"Non-monotonic variation of structural and tensile properties with Cr content in AlCoCrxFeNi2 high entropy alloys. Obviously, the strength and ductility show a non-monotonic relationship with Cr content. When x increases from 1.0 to 1.4, the ultimate strength and yield strength decrease from 1083 MPa to 482 MPa–910 MPa and 428 MPa, respectively."
"AlCoCrFeNi2 EHEA",944,"An assessment on the stability of the eutectic phases in high entropy alloys. The EHEAs with composite microstructure are excellent candidates for high strength and high temperature applications. Along this direction, Lu et al. have reported a series of work to obtain an excellent combination of 944 MPa yield strength and 26% ductility in AlCoCrFeNi2 EHEA with FCC + B2 phases [17,18]."
"WMoTaNb RHEA",405,"A particle reinforced NbTaTiV refractory high entropy alloy based composite with attractive mechanical properties. Refractory high entropy alloys (RHEAs), which are developed mainly based on the refractory metallic elements (W, Mo, Ta, Nb, Hf, Zr, Ti and V, etc.)% have attracted substantial research interest due to their excellent properties, such as ultra-high melting points, desirable high temperature strength and good oxidation resistance [1–3]. For example, Senkov et al. [4,5] reported that the WMoTaNb RHEA exhibits a desirable high yield strength of 405 MPa at 1600 °C, which is the urgently needed properties for advanced high-temperature structural materials."
